0.017785,0.011882,0.00014118,43.459,1.6774e-06,5.6259e-06,2
0.017444,0.012579,0.00015824,33.35,1.9905e-06,5.3083e-06,2
0.017418,0.013554,0.00018371,31.266,2.4899e-06,5.2842e-06,2
0.017465,0.012921,0.00016696,31.987,2.1573e-06,5.3272e-06,2
0.016733,0.013519,0.00018277,26.114,2.4709e-06,4.6848e-06,2
0.016732,0.014208,0.00020187,29.17,2.8681e-06,4.6846e-06,2
0.019564,0.014377,0.0002067,43.459,2.9717e-06,7.4881e-06,2
0.019189,0.015221,0.00023168,33.35,3.5263e-06,7.0653e-06,2
0.01916,0.0164,0.00026896,31.266,4.4111e-06,7.0333e-06,2
0.019211,0.015635,0.00024444,31.987,3.8217e-06,7.0905e-06,2
0.018406,0.016358,0.00026759,26.114,4.3774e-06,6.2355e-06,2
0.018406,0.017192,0.00029555,29.17,5.081e-06,6.2352e-06,2
0.021343,0.01711,0.00029274,43.459,5.0088e-06,9.7216e-06,2
0.020933,0.018114,0.00032812,33.35,5.9437e-06,9.1727e-06,2
0.020901,0.019518,0.00038093,31.266,7.4349e-06,9.1311e-06,2
0.020958,0.018606,0.0003462,31.987,6.4416e-06,9.2054e-06,2
0.020079,0.019468,0.00037899,26.114,7.3781e-06,8.0954e-06,2
0.020079,0.020459,0.00041859,29.17,8.5641e-06,8.0949e-06,2
0.023121,0.02008,0.00040321,43.459,8.0966e-06,1.236e-05,2
0.022677,0.021259,0.00045194,33.35,9.6079e-06,1.1662e-05,2
0.022643,0.022906,0.00052468,31.266,1.2018e-05,1.1609e-05,2
0.022704,0.021837,0.00047684,31.987,1.0413e-05,1.1704e-05,2
0.021752,0.022848,0.00052201,26.114,1.1927e-05,1.0293e-05,2
0.021752,0.024011,0.00057655,29.17,1.3844e-05,1.0292e-05,2
0.0249,0.023288,0.00054234,43.459,1.263e-05,1.5438e-05,1
0.024422,0.024655,0.00060789,33.35,1.4988e-05,1.4566e-05,1
0.024385,0.026566,0.00070573,31.266,1.8748e-05,1.45e-05,1
0.024451,0.025325,0.00064138,31.987,1.6243e-05,1.4618e-05,1
0.023426,0.026498,0.00070213,26.114,1.8605e-05,1.2855e-05,1
0.023425,0.027848,0.00077549,29.17,2.1595e-05,1.2854e-05,1
0.015887,0.0095682,9.1551e-05,44.434,8.7598e-07,4.0097e-06,4
0.015293,0.0099173,9.8353e-05,31.982,9.754e-07,3.5767e-06,4
0.015599,0.01101,0.00012122,32.965,1.3347e-06,3.7956e-06,4
0.015641,0.010452,0.00010923,33.322,1.1417e-06,3.8265e-06,4
0.015127,0.011131,0.0001239,26.839,1.3792e-06,3.4614e-06,4
0.014602,0.011119,0.00012363,28.249,1.3746e-06,3.1135e-06,4
0.017652,0.011813,0.00013954,44.434,1.6483e-06,5.5003e-06,3
0.016992,0.012244,0.00014991,31.982,1.8354e-06,4.9063e-06,3
0.017332,0.013593,0.00018477,32.965,2.5115e-06,5.2065e-06,3
0.017379,0.012903,0.00016649,33.322,2.1482e-06,5.249e-06,3
0.016808,0.013742,0.00018885,26.839,2.5952e-06,4.7481e-06,3
0.016225,0.013727,0.00018842,28.249,2.5865e-06,4.2709e-06,3
0.019417,0.014293,0.0002043,44.434,2.9201e-06,7.3209e-06,2
0.018692,0.014815,0.00021948,31.982,3.2515e-06,6.5303e-06,2
0.019065,0.016447,0.00027052,32.965,4.4493e-06,6.9299e-06,2
0.019117,0.015613,0.00024376,33.322,3.8058e-06,6.9864e-06,2
0.018488,0.016628,0.00027649,26.839,4.5975e-06,6.3197e-06,2
0.017847,0.016609,0.00027587,28.249,4.5821e-06,5.6845e-06,2
0.021182,0.01701,0.00028935,44.434,4.9218e-06,9.5045e-06,2
0.020391,0.017631,0.00031084,31.982,5.4804e-06,8.4782e-06,2
0.020798,0.019574,0.00038313,32.965,7.4993e-06,8.9969e-06,2
0.020855,0.01858,0.00034523,33.322,6.4146e-06,9.0703e-06,2
0.020169,0.019789,0.00039159,26.839,7.7491e-06,8.2048e-06,2
0.019469,0.019767,0.00039072,28.249,7.7231e-06,7.38e-06,2
0.022948,0.019963,0.00039854,44.434,7.9561e-06,1.2084e-05,1
0.02209,0.020692,0.00042815,31.982,8.8591e-06,1.0779e-05,1
0.022532,0.022972,0.00052771,32.965,1.2122e-05,1.1439e-05,1
0.022593,0.021806,0.00047551,33.322,1.0369e-05,1.1532e-05,1
0.02185,0.023224,0.00053937,26.839,1.2526e-05,1.0432e-05,1
0.021092,0.023198,0.00053816,28.249,1.2484e-05,9.3831e-06,1
0.017341,0.012277,0.00015072,40.532,1.8504e-06,5.2145e-06,3
0.017147,0.012962,0.00016801,31.891,2.1776e-06,5.0412e-06,3
0.017702,0.013758,0.00018928,33.923,2.6041e-06,5.5475e-06,3
0.017338,0.013225,0.00017489,30.996,2.3129e-06,5.2118e-06,3
0.016533,0.013864,0.0001922,26.061,2.6646e-06,4.519e-06,3
0.016418,0.014436,0.00020841,28.554,3.0087e-06,4.4253e-06,3
0.019075,0.014855,0.00022067,40.532,3.2782e-06,6.9405e-06,2
0.018861,0.015684,0.00024598,31.891,3.8578e-06,6.7098e-06,2
0.019473,0.016647,0.00027712,33.923,4.6133e-06,7.3837e-06,2
0.019072,0.016002,0.00025606,30.996,4.0975e-06,6.9369e-06,2
0.018186,0.016775,0.0002814,26.061,4.7205e-06,6.0147e-06,2
0.01806,0.017468,0.00030514,28.554,5.3302e-06,5.8901e-06,2
0.020809,0.017679,0.00031254,40.532,5.5254e-06,9.0106e-06,1
